refrigerant,outdoor_temp_C,condenser_approach_C,T_cond_C,COP,compressor_work_kJ_kg,pressure_ratio,critical_margin_C,warnings
R134a,47,10,57,3.3219212036310575,40.446745256719296,3.776011644757127,44.061966584951335,
R134a,48,10,58,3.22578851624342,41.1680368751646,3.867773614831154,43.061966584951335,
R134a,49,10,59,3.1332143206704997,41.88389692944032,3.9612054703742006,42.061966584951335,
R134a,50,10,60,3.043978082084819,42.594352240632986,4.056328818663319,41.061966584951335,
R134a,51,10,61,2.9578763220937834,43.29943021909666,4.153165601509707,40.061966584951335,
R134a,52,10,62,2.874720965827222,43.99915890965785,4.251738113862652,39.061966584951335,
R134a,53,10,63,2.7943378752634245,44.693567040252496,4.352069023920857,38.061966584951335,
R134a,54,10,64,2.7165655445824046,45.38268407426891,4.45418139490227,37.061966584951335,
R134a,55,10,65,2.6412539368523813,46.06654026691412,4.558098708642876,36.061966584951335,
R134a,35,12,47,4.5443234770574215,32.92953789184679,2.945690171336127,54.061966584951335,
R134a,36,12,48,4.394986595621035,33.70651720893086,3.021878960766941,53.061966584951335,
R134a,37,12,49,4.252924915710145,34.477821243208545,3.0995367171437858,52.061966584951335,
R134a,38,12,50,4.117586362904028,35.24347280273208,3.178682473798591,51.061966584951335,
R134a,39,12,51,3.988472541136309,36.003494977570604,3.259335471947357,50.061966584951335,
R134a,40,12,52,3.8651323339128436,36.757911161015855,3.341515169693503,49.061966584951335,
R134a,41,12,53,3.747156397884161,37.5067450725633,3.425241251677576,48.061966584951335,
R134a,42,12,54,3.6341724067676697,38.250020782782755,3.510533639425169,47.061966584951335,
R134a,43,12,55,3.525840928857517,38.98776274019421,3.5974125024505255,46.061966584951335,
R134a,44,12,56,3.4218518416631074,39.71999580027163,3.685898270178836,45.061966584951335,
R134a,45,12,57,3.3219212036310575,40.446745256719296,3.776011644757127,44.061966584951335,
R134a,46,12,58,3.22578851624342,41.1680368751646,3.867773614831154,43.061966584951335,
R134a,47,12,59,3.1332143206704997,41.88389692944032,3.9612054703742006,42.061966584951335,
R134a,48,12,60,3.043978082084819,42.594352240632986,4.056328818663319,41.061966584951335,
R134a,49,12,61,2.9578763220937834,43.29943021909666,4.153165601509707,40.061966584951335,
R134a,50,12,62,2.874720965827222,43.99915890965785,4.251738113862652,39.061966584951335,
R134a,51,12,63,2.7943378752634245,44.693567040252496,4.352069023920857,38.061966584951335,
R134a,52,12,64,2.7165655445824046,45.38268407426891,4.45418139490227,37.061966584951335,
R134a,53,12,65,2.6412539368523813,46.06654026691412,4.558098708642876,36.061966584951335,
R134a,54,12,66,2.5682634443096237,46.74516672593809,4.663844891218061,35.061966584951335,
R134a,55,12,67,2.497463956977597,47.41859547712159,4.771444340807508,34.061966584951335,
R134a,35,15,50,4.117586362904028,35.24347280273208,3.178682473798591,51.061966584951335,
R134a,36,15,51,3.988472541136309,36.003494977570604,3.259335471947357,50.061966584951335,
R134a,37,15,52,3.8651323339128436,36.757911161015855,3.341515169693503,49.061966584951335,
R134a,38,15,53,3.747156397884161,37.5067450725633,3.425241251677576,48.061966584951335,
R134a,39,15,54,3.6341724067676697,38.250020782782755,3.510533639425169,47.061966584951335,
R134a,40,15,55,3.525840928857517,38.98776274019421,3.5974125024505255,46.061966584951335,
R134a,41,15,56,3.4218518416631074,39.71999580027163,3.685898270178836,45.061966584951335,
R134a,42,15,57,3.3219212036310575,40.446745256719296,3.776011644757127,44.061966584951335,
R134a,43,15,58,3.22578851624342,41.1680368751646,3.867773614831154,43.061966584951335,
R134a,44,15,59,3.1332143206704997,41.88389692944032,3.9612054703742006,42.061966584951335,
R134a,45,15,60,3.043978082084819,42.594352240632986,4.056328818663319,41.061966584951335,
R134a,46,15,61,2.9578763220937834,43.29943021909666,4.153165601509707,40.061966584951335,
R134a,47,15,62,2.874720965827222,43.99915890965785,4.251738113862652,39.061966584951335,
R134a,48,15,63,2.7943378752634245,44.693567040252496,4.352069023920857,38.061966584951335,
R134a,49,15,64,2.7165655445824046,45.38268407426891,4.45418139490227,37.061966584951335,
R134a,50,15,65,2.6412539368523813,46.06654026691412,4.558098708642876,36.061966584951335,
R134a,51,15,66,2.5682634443096237,46.74516672593809,4.663844891218061,35.061966584951335,
R134a,52,15,67,2.497463956977597,47.41859547712159,4.771444340807508,34.061966584951335,
R134a,53,15,68,2.428734026474756,48.08685953497846,4.8809219580561365,33.061966584951335,
R134a,54,15,69,2.361960113643381,48.7499929791945,4.992303179222248,32.061966584951335,
R134a,55,15,70,2.297035910150299,49.40803103740868,5.105614012449612,31.061966584951335,"Pressure ratio caution warning: pressure ratio exceeds 5. This is a generic screening threshold, not a compressor-envelope check."
